Изображение,Название,Автор,Количество страниц,Издательство,Язык,ISBN-10
"https://images-na.ssl-images-amazon.com/images/I/61y0jTKEZ%2BL._SX258_BO1,204,203,200_.jpg",How to Draw Pokemon: Learn to Draw Your Favourite Pokemon Go Characters,None,Paperback: 107 pages,"Publisher: CreateSpace Independent Publishing Platform (March 21, 2017)",Language: English,ISBN-10: 154480864X
"https://images-na.ssl-images-amazon.com/images/I/51dTA695MNL._SX396_BO1,204,203,200_.jpg",Canon EOS Rebel T6/1300D For Dummies (For Dummies (Computer/tech)),Julie Adair King,Series: For Dummies (Computer/tech),Paperback: 320 pages,"Publisher: For Dummies; 1 edition (August 1, 2016)",Language: English
"https://images-na.ssl-images-amazon.com/images/I/51oYzgTCiyL._SX427_BO1,204,203,200_.jpg",Learn Windows PowerShell in a Month of Lunches,Donald W. Jones,Paperback: 384 pages,"Publisher: Manning Publications; 3 edition (December 30, 2016)",Language: English,ISBN-10: 1617294160
"https://images-na.ssl-images-amazon.com/images/I/611vN8uhJ9L._SX258_BO1,204,203,200_.jpg",Digital Photography Complete Course: Learn Everything You Need to Know in 20 Weeks,None,Hardcover: 360 pages,"Publisher: DK (August 18, 2015)",Language: English,ISBN-10: 1465436073
"https://images-na.ssl-images-amazon.com/images/I/51A3RJDnGnL._SY344_BO1,204,203,200_.jpg",NieR: Automata World Guide Volume 1,None,"Pre-order Price Guarantee! Order now and if the Amazon.com price decreases between your order time and the end of the day of the release date, you'll receive the lowest price.  Here's how (restrictions apply) ",,,
"https://images-na.ssl-images-amazon.com/images/I/61rJ0bbrm2L._SY344_BO1,204,203,200_.jpg",Marijuana Grower's Handbook: Your Complete Guide for Medical and Personal Marijuana Cultivation,Ed Rosenthal,Paperback: 510 pages,"Publisher: Quick American Archives; Special edition (June 8, 2010)",Language: English,ISBN-10: 0932551467
"https://images-na.ssl-images-amazon.com/images/I/41gHB8KelXL._SX258_BO1,204,203,200_.jpg","C Programming Language, 2nd Edition",Brian W. Kernighan,Paperback: 272 pages,"Publisher: Prentice Hall; 2 edition (April 1, 1988)",Language: English,ISBN-10: 0131103628
"https://images-na.ssl-images-amazon.com/images/I/41LBzpPXCOL._SX379_BO1,204,203,200_.jpg",Refactoring: Improving the Design of Existing Code (2nd Edition) (Addison-Wesley Signature Series (Fowler)),Martin Fowler,Series: Addison-Wesley Signature Series (Fowler),Hardcover: 448 pages,"Publisher: Addison-Wesley Professional; 2 edition (November 30, 2018)",Language: English
"https://images-na.ssl-images-amazon.com/images/I/51%2BlcnIDQfL._SY344_BO1,204,203,200_.jpg","Crushing It!: How Great Entrepreneurs Build Their Business and Influence-and How You Can, Too",Gary Vaynerchuk,Hardcover: 288 pages,"Publisher: HarperBusiness (January 30, 2018)",Language: English,ISBN-10: 0062674676
"https://images-na.ssl-images-amazon.com/images/I/612ybpJEisL._SX348_BO1,204,203,200_.jpg",The Hacker Playbook 3: Practical Guide To Penetration Testing,Peter Kim,Series: The Hacker Playbook (Book 3),Paperback: 289 pages,"Publisher: Independently published (May 2, 2018)",Language: English
"https://images-na.ssl-images-amazon.com/images/I/41dP3wwCoHL._SY344_BO1,204,203,200_.jpg",Possible Minds: Twenty-Five Ways of Looking at AI,John Brockman,Hardcover: 320 pages,"Publisher: Penguin Press (February 19, 2019)",Language: English,ISBN-10: 0525557997
"https://images-na.ssl-images-amazon.com/images/I/411SnVemVqL._SX307_BO1,204,203,200_.jpg",Anthem: Official Collector's Edition Guide,Prima Games,Hardcover: 352 pages,"Publisher: Prima Games; Collectors edition (February 22, 2019)",Language: English,ISBN-10: 0744018986
"https://images-na.ssl-images-amazon.com/images/I/51KRkOk-JPL._SY498_BO1,204,203,200_.jpg",The Big Book of Dashboards: Visualizing Your Data Using Real-World Business Scenarios,Steve Wexler,Paperback: 448 pages,"Publisher: Wiley; 1 edition (April 24, 2017)",Language: English,ISBN-10: 1119282713
"https://images-na.ssl-images-amazon.com/images/I/51MPp7yuZCL._SX258_BO1,204,203,200_.jpg",Python Data Science Handbook: Essential Tools for Working with Data,Jake VanderPlas,Paperback: 548 pages,"Publisher: O'Reilly Media; 1 edition (December 10, 2016)",Language: English,ISBN-10: 9781491912058
"https://images-na.ssl-images-amazon.com/images/I/517oG15QmbL._SX397_BO1,204,203,200_.jpg",Excel 2016 All-in-One For Dummies,Greg Harvey,Series: For Dummies,Paperback: 816 pages,"Publisher: For Dummies; 1 edition (November 16, 2015)",Language: English
"https://images-na.ssl-images-amazon.com/images/I/41BKx1AxQWL._SX258_BO1,204,203,200_.jpg",The Pragmatic Programmer: From Journeyman to Master,Andrew Hunt,Paperback: 352 pages,"Publisher: Addison-Wesley Professional; 1 edition (October 30, 1999)",Language: English,ISBN-10: 9780201616224
"https://images-na.ssl-images-amazon.com/images/I/41BKx1AxQWL._SX258_BO1,204,203,200_.jpg",The Pragmatic Programmer: From Journeyman to Master,Andrew Hunt,Paperback: 352 pages,"Publisher: Addison-Wesley Professional; 1 edition (October 30, 1999)",Language: English,ISBN-10: 9780201616224
"https://images-na.ssl-images-amazon.com/images/I/51c5k98XBtL._SX397_BO1,204,203,200_.jpg",Windows 10 For Dummies (For Dummies (Computer/Tech)),Andy Rathbone,Series: For Dummies (Computer/Tech),Paperback: 464 pages,"Publisher: For Dummies; 3 edition (May 22, 2018)",Language: English
"https://images-na.ssl-images-amazon.com/images/I/41dPThoPwEL._SX331_BO1,204,203,200_.jpg",Algorithms to Live By: The Computer Science of Human Decisions,Brian Christian,Paperback: 368 pages,"Publisher: Picador; Reprint edition (April 4, 2017)",Language: English,ISBN-10: 1250118360
"https://images-na.ssl-images-amazon.com/images/I/51i8W%2BKevmL._SX402_BO1,204,203,200_.jpg","CompTIA A+ Certification All-in-One Exam Guide, Tenth Edition (Exams 220-1001 & 220-1002)",Mike Meyers,"Pre-order Price Guarantee! Order now and if the Amazon.com price decreases between your order time and the end of the day of the release date, you'll receive the lowest price.  Here's how (restrictions apply) ",,,
"https://images-na.ssl-images-amazon.com/images/I/510D-hz9wuL._SX258_BO1,204,203,200_.jpg",The Legend of Zelda: Hyrule Historia,None,Hardcover: 280 pages,"Publisher: Dark Horse Books; 5th Printing edition (January 29, 2013)",Language: English,ISBN-10: 1616550414
"https://images-na.ssl-images-amazon.com/images/I/51ZPG8GFgdL._SX258_BO1,204,203,200_.jpg",QuickBooks 2019 For Dummies (For Dummies (Computer/Tech)),Stephen L. Nelson,Series: For Dummies (Computer/Tech),Paperback: 416 pages,"Publisher: For Dummies; 1 edition (November 6, 2018)",Language: English
"https://images-na.ssl-images-amazon.com/images/I/4195oGO-TmL._SY344_BO1,204,203,200_.jpg","The History of the Future: Oculus, Facebook, and the Revolution That Swept Virtual Reality",Blake J. Harris,Hardcover: 528 pages,"Publisher: Dey Street Books (February 19, 2019)",Language: English,ISBN-10: 0062455966
"https://images-na.ssl-images-amazon.com/images/I/51Tuem8uY1L._SX396_BO1,204,203,200_.jpg",QuickBooks 2019 All-in-One For Dummies (For Dummies (Business & Personal Finance)),Stephen L. Nelson,Series: For Dummies (Business & Personal Finance),Paperback: 624 pages,"Publisher: For Dummies; 1 edition (December 18, 2018)",Language: English
"https://images-na.ssl-images-amazon.com/images/I/41b3GUdycfL._SX402_BO1,204,203,200_.jpg",Adobe Photoshop CC Classroom in a Book (2019 Release),None,Paperback: 416 pages,"Publisher: Adobe Press; 1 edition (December 6, 2018)",Language: English,ISBN-10: 0135261783
"https://images-na.ssl-images-amazon.com/images/I/31%2Be-PmqFXL._SX322_BO1,204,203,200_.jpg",Blue Team Field Manual (BTFM) (RTFM),Ben Clark,Series: RTFM,Paperback: 134 pages,"Publisher: CreateSpace Independent Publishing Platform (January 13, 2017)",Language: English
"https://images-na.ssl-images-amazon.com/images/I/51PWd4HbW6L._SX402_BO1,204,203,200_.jpg","CISSP All-in-One Exam Guide, Eighth Edition",Shon Harris,Series: All-In-One,Paperback: 1408 pages,"Publisher: McGraw-Hill Education; 8 edition (October 19, 2018)",Language: English
