Хорошо темперированный клавир: Том 2,Бах И.С.,Неизвестно,6 400 тг,0,Музыка,9790660062708,Мягкий,9 мм,Неизвестно,Неизвестно,Неизвестно,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5122974_1455699.jpeg
Хрестоматия для фортепиано. 1 класс,Турусова И.,"Учебное пособие составлено известным московским педагогом, заслуженным работником культуры РФ. Содержит обновленный педагогический репертуар, соответствующий программе ДМШ, - разножанровые пьесы отечественных и зарубежных композиторов, сонатины и вариации, этюды и ансамбли. Предназначается для учащихся 1-го класса детских музыкальных школ.",4 500 тг,2,Музыка,2007 г.,9785714007026,96,Мягкий,290 мм x 220 мм,5 мм,214 г.,http://www.bookcity.kz/content/images/thumbs/5035854_1357805.jpeg
Хрестоматия для фортепиано. 2 класс,Турусова И.,"Новое учебное пособие, составленное известным московским педагогом-пианистом, заслуженным работником культуры РФ. Содержит обновленный педагогический репертуар, соответствующий программе ДМШ, - произведения разных жанров от миниатюр до сочинений крупной формы. Предназначается для учащихся 2-го класса детских музыкальных школ.",3 200 тг,1,Музыка,2007 г.,9785714010569,76,Мягкий,290 мм x 220 мм,5 мм,198 г.,http://www.bookcity.kz/content/images/thumbs/5035496_1357781.jpeg
Хрестоматия для фортепиано. Младшие классы ДМШ. Произведения крупной формы,"Гудова Е.И., Смирнов В.Д.,Чернышков  С.А.","Настоящее издание открывает серию из трех сборников, включающих произведения крупной формы: сонаты, сонатины, рондо и вариации. Три выпуска серии предназначены соответственно для младших, средних и старших классов ДМШ и ДШИ. Произведения располагаются по возрастанию степени трудности. Задача осуществляемого издания - расширение и обновление детского фортепианного репертуара. Составлялись сборники главным образом из малоизвестных произведений, которые представляют собой ценный по музыке материал, способный обогатить педагогический обиход. Принцип дифференцированности процесса обучения обусловил включение в каждый выпуск музыкальных произведений широкого спектра технической трудности и стилистического разнообразия. Круг авторов охватывает период развития музыкальной культуры с конца XVII века по настоящее время. Составители учли особенности современного педагогического процесса, а именно наличие в одной ученической категории детей с разными музыкальными данными и...",4 500 тг,2,Музыка,2007 г.,9785714012433,80,Мягкий,290 мм x 220 мм,7 мм,230 г.,http://www.bookcity.kz/content/images/thumbs/5072336_1411795.jpeg
Неизвестно,Неизвестно,Неизвестно,Неизвестно,Неизвестно,Неизвестно,Неизвестно,Неизвестно,Неизвестно,Неизвестно,Неизвестно,Неизвестно,Неизвестно,Неизвестно
Хрестоматия педагогического реперутара для фортепиано. Полифонические пьесы. Выпуск1. 5 класс ДМШ,Копчевский Н.,"Хрестоматия является основным учебным пособием для учащихся детских музыкальных школ. Здесь отобраны произведения, пользующиеся наибольшей популярностью и ставшие неотъемлемой частью педагогического репертуара.",2 400 тг,0,Музыка,2014 г.,9785714001932,48,Мягкий,290 мм x 220 мм,5 мм,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5024130_1345598.jpeg
"Хэлло, Долли! Hello. Dolly! Популярная музыка зарубежных композиторов для балалайки и фортепиано",Афанасьев А.В.,Неизвестно,1 400 тг,0,ИП Козлов Сергей,9790706363493,6 мм,Неизвестно,Неизвестно,Неизвестно,Неизвестно,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5123468_1456175.jpeg
Школа - самоучитель игры на фортепиано,Катанский В.,"Основная задача предлагаемой Школы-самоучителя - дать начальные навыки фортепианного исполнительства, познакомить с основами музыкальной грамоты. Школа-самоучитель включает два раздела: I - Школа игры, II - Подбор по слуху, сочинение и импровизация. Рекомендации, предлагаемые во II разделе, помогут начинающему музыканту научиться подбирать на фортепиано любимые мелодии с аккомпанементом, а также самому сочинять небольшие пьесы. После методической части следует Хрестоматия, содержащая музыкальные пьесы разной степени сложности, предназначенные для исполнения в 2 руки, в 4 руки, а также песни для голоса в сопровождении фортепиано.В Школе широко представлена музыка XX века. Школа-самоучитель может быть использована как учебное пособие для занятий в музыкальных школах (младших и старших классах) и для самостоятельного обучения игре на фортепиано.",5 300 тг,5,Катанского ИД,2007 г.,9785896080114,208,Мягкий,290 мм x 220 мм,11 мм,98 г.,http://www.bookcity.kz/content/images/thumbs/5002756_1324878.jpeg
Школа Legato и Staccato,Черни К.,"Публикуемая впервые в полном виде в России «Школа Legato и Staccato» (ор. 335) Черни (редакция Шультце), как и известные 299-й и 740-й опусы, послужит прекрасным материалом, на котором будут воспитываться юные музыканты (учащиеся старших классов ДМШ и студенты младших курсов музыкальных училищ). Но такие затейливые и художественно осмысленные сочинения, как эти этюды, будут интересны не только пианистам: они послужат и теоретикам, и композиторам, и дирижерам, и пытливым студентам-оркестрантам. Небезынтересными и весьма полезными они станут для музыкантов-любителей. Судя по заголовку Школы, Черни, блестящий педагог-пианист, ставит вроде бы узкую задачу: обучить художественным приемам Legato и Staccato однако по существу в настоящей Школе преследуются цели значительно более широкие. Этюды этого опуса направлены на овладение практически всеми видами техники. Здесь мелкая, гаммообразная техника, блестящие «жемчужные» пассажи (фиоритуры), арпеджии, двойные ноты, бравурная аккордовая и октавная техника, льющиеся, связные мелодические линии (cantabile), полифоническая ткань, орнаментальные ажурные строения, репетиции, бурные токкатообразные сочинения. Многие из этюдов настолько интересны, что могут исполняться как самостоятельные пьесы.",4 700 тг,2,Шабатура Д.М,2017 г.,9789857095919,96,Мягкий,15 мм,130 г.,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5116148_1449091.jpeg
Школа беглости,Черни К.,"Вашему вниманию предлагается нотное издание К.Черни ""Школа беглости для фортепиано. Тетради I-IV"".",4 800 тг,1,Шабатура Д.М,2017 г.,9789857095032,104,Мягкий,10 мм,270 г.,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5116191_1449134.jpeg
Школа беглости. Соч. 299: Для фортепиано (тетради I-IV),Черни К.,"Издание содержит популярные в пианистической практике этюды выдающегося австрийского педагога, пианиста и композитора. Предназначается для учащихся средних и старших классов детских музыкальных школ.",5 500 тг,4,Музыка,2014 г.,9790660060124,104,Мягкий,290 мм x 220 мм,7 мм,305 г.,http://www.bookcity.kz/content/images/thumbs/5052333_1388649.jpeg
Школа игры на фортепиано,Николаев А.,"Школа игры на фортепиано под общей редакцией А.Николаева публикуется издательством ""Музыка"" в течение многих десятилетий. При наличии достаточного количества методических сборников и хрестоматий ""Школа Николаева"" является универсальным учебно-методическим пособием для начального обучения игре на фортепиано. В своих педагогических принципах Школа опирается на богатые отечественные пианистические традиции.",8 800 тг,5,Музыка,2012 г.,9790660060513,200,Мягкий,290 мм x 220 мм,10 мм,435 г.,http://www.bookcity.kz/content/images/thumbs/5094626_1353587.jpeg
Школа октав,Веселова А.,Неизвестно,1 100 тг,0,Союз Художников,2009 г.,2200001676879,5 мм,Неизвестно,Неизвестно,Неизвестно,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5005458_1327191.jpeg
Этюды для начинающих,Черни К.,"Вашему вниманию предлагается нотное издание ""Карл Черни. Этюды для начинающих"" для фортепиано.",4 400 тг,1,Шабатура Д.М,2016 г.,9789857024988,80,Мягкий,5 мм,180 г.,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5111079_1444745.jpeg
Этюды для фортепиано,Лешгорн К.А.,Неизвестно,1 400 тг,3,Кифара,9790706363417,Мягкий,7 мм,213 г.,Неизвестно,Неизвестно,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5004202_1326234.jpeg
Этюды для фортепиано. Сочинение 10,Шопен Ф.,Неизвестно,3 500 тг,2,Музыка,9790706380810,Мягкий,5 мм,Неизвестно,Неизвестно,Неизвестно,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5122950_1455684.jpeg
Этюды Ф. Шопена,Кирсанова Э.,Неизвестно,700 тг,0,Өнер,2008 г.,9789965768866,Мягкий,10 мм,Неизвестно,Неизвестно,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5106717_1443056.jpeg
Этюды. Для фортепиано,Шопен Ф.,Неизвестно,4 000 тг,3,Музыка,2016 г.,9790660060674,6 мм,Неизвестно,Неизвестно,Неизвестно,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5086490_1425229.jpeg
Этюды: Для фортепиано. Соч. 65,Лешгорн К.А.,Неизвестно,1 800 тг,2,Музыка,9790660060902,Мягкий,10 мм,Неизвестно,Неизвестно,Неизвестно,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5123062_1455793.jpeg
Этюды: Для фортепиано. Соч. 66,Лешгорн К.А.,Неизвестно,3 300 тг,0,Музыка,9790660060896,Мягкий,6 мм,Неизвестно,Неизвестно,Неизвестно,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5123089_1455820.jpeg
Юному музыканту-пианисту. 1 класс: хрестоматия для учащихся ДМШ,Цыганова Г.,"Вы держите в руках хрестоматию педагогического репертуара для учеников 1 класса детской музыкальной школы. Составление данного сборника вызвано необходимостью иметь под рукой, в одном учебнике достаточное количество музыкально-педагогического материала для обучения ребенка игре на фортепиано в течение всего года. В сборник включены пьесы из многих, изданных ранее учебных пособий, позволяющие решить проблемы данного периода обучения. В соответствии с программными требованиями ДМШ и ДШИ в хрестоматию вошли произведения, представляющие следующие разделы: полифония, крупная форма, пьесы, этюды и ансамбли. Обширный художественный и инструктивный материал позволяет выбрать достаточное количество пьес для приобретения и закрепления знаний и навыков с учетом индивидуальных возможностей ученика. В силу особенностей начального периода обучения материал не делится на разделы, а представлен по принципу постепенного усложнения. Весь подбор и систематизация произведений...",2 700 тг,4,Феникс,2014 г.,9790660032138,88,Мягкий,6 мм,200 г.,Неизвестно,http://www.bookcity.kz/content/images/thumbs/3817059_1387068.jpeg
Юному музыканту-пианисту. 2 класс. Хрестоматия для учащихся ДМШ,Цыганова Г.,Неизвестно,2 800 тг,2,Феникс,2018 г.,9790660036006,Мягкий,290 мм x 210 мм,6 мм,170 г.,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5130079_1462473.jpeg
Юному музыканту-пианисту. 5 класс. Хрестоматия для учащихся ДМШ,Цыганова Г.,"Появление данного сборника вызвано необходимостью расширить традиционный репертуар учеников 5 класса ДМШ и ДШИ. В хрестоматии собрано достаточное количество музыкально-педагогического материала, позволяющее отойти от широко известных произведений, освоив тем не менее все разделы программы с учетом индивидуальных возможностей ученика. Подбор и систематизация произведений явились отражением общеизвестных педагогических принципов и, в равной степени, результатом многолетнего опыта работы с детьми авторов-составителей.",4 400 тг,0,Феникс,2018 г.,9790660034606,Мягкий,290 мм x 210 мм,13 мм,370 г.,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5132201_1464546.jpeg
Юному музыканту-пианисту. 7 класс. Хрестоматия для учащихся ДМШ,Цыганова Г.,"Появление данного сборника вызвано необходимостью расширить традиционный репертуар учеников 7 класса ДМШ и ДШИ. В хрестоматии собрано достаточное количество музыкально-педагогического материала, позволяющее отойти от широко известных произведений, освоив тем не менее все разделы программы с учетом индивидуальных возможностей ученика. Подбор и систематизация произведений явилась отражением общеизвестных педагогических принципов и в равной степени результатом многолетнего опыта работы с детьми авторов-составителей.",6 500 тг,3,Феникс,2018 г.,9790660034798,Мягкий,13 мм,Неизвестно,Неизвестно,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5130097_1462491.jpeg
Юному музыканту-пианисту. Хрестоматия для учащихся детской музыкальной школы. 4 класс. Учебно-методическое пособие,Цыганова Г.,"Появление данного сборника вызвано необходимостью расширить традиционный репертуар учеников 4 класса ДМШ и ДШИ.В хрестоматии собрано достаточное количество музыкально-педагогического материала, позволяющее отойти от широко известных произведений, освоив, тем не менее, все разделы программы с учетом индивидуальных возможностей ученика.Весь подбор и систематизация произведений явились отражением как общеизвестных педагогических принципов, так и результатом собственного многолетнего опыта работы с детьми.",3 500 тг,4,Феникс,2017 г.,9790660035566,104,Мягкий,10 мм,230 г.,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5123390_1456091.jpeg
Юному музыканту-пианисту. Хрестоматия для учащихся ДМШ. 3 класс,Цыганова Г.,"Вы держите в руках хрестоматию для учеников 3 класса детской музыкальной школы.Составление данного сборника вызвано необходимостью иметь в одном учебнике достаточное количество музыкально-педагогического материала для обучения ребенка игре па фортепиано в течение всего года.В сборник включены произведения из многих, изданных ранее учебных пособий, позволяющие решить проблемы данного периода обучения.В соответствии с программными требованиями ДМШ и ДШИ в хрестоматию вошли произведения, представляющие следующие разделы: полифония, крупная форма, пьесы, этюды и ансамбли. Несмотря на то, что в сборнике не используются этюды К. Черни и Л. Лемуана, полифонические пьесы из ""Нотной тетради A.M. Бах"", пьесы из авторских сборников П. Чайковского, Р. Шумана, Д. Кабалевского, несомненно, необходимые в работе с детьми, представленный художественный и инструктивный материал расширяет репертуарную палитру педагога и позволяет выбрать необходимое количество произведений для работы с учеником 3 класса, учитывая его индивидуальность.",3 100 тг,5,Феникс,2018 г.,9790660035900,96,Мягкий,5 мм,245 г.,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5132399_1443643.jpeg
