Альбом ученика-пианиста. Хрестоматия. 2 класс,Цыганова Г.,"Появление данного сборника вызвано необходимостью расширить традиционный репертуар учеников 2 класса ДМШ и ДШИ.В хрестоматии собрано достаточное количество музыкально-педагогического материала, позволяющее отойти от широко известных произведений, освоив тем не менее все разделы программы с учетом индивидуальных возможностей ученика.Подбор и систематизация произведений явились как отражением общеизвестных педагогических принципов, так и результатом собственного многолетнего опыта работы с детьми.",2 700 тг,4,Феникс,2017 г.,9790660035436,80,Мягкий,6 мм,180 г.,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5111097_1444486.jpeg
Альбом фортепианных пьес для детей,Бетховен Л.,Неизвестно,4 200 тг,2,Музыка,2010 г.,9790660063040,Мягкий,5 мм,Неизвестно,Неизвестно,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5127642_1460135.jpeg
Баллады для фортепиано,Шопен Ф.,"Переиздание четырех баллад великого польского композитора в редакции Г.Г.Нейгауза и Я.И.Мильштейна снабжено текстологическими комментариями, исследующими разночтения между прижизненными и последующими изданиями баллад. Адресуется широкому кругу музыкантов: исполнителям, студентам консерваторий и музыкальных училищ, а также любителям музыки.",4 100 тг,1,Музыка,2008 г.,9785714009709,80,Мягкий,290 мм x 220 мм,Неизвестно,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5122956_1455686.jpeg
Бергамасская сюита: Для фортепиано,Дебюсси К.,Неизвестно,2 900 тг,2,Музыка,9790660066010,4 мм,Неизвестно,Неизвестно,Неизвестно,Неизвестно,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5123065_1455796.jpeg
Большая музыка-маленькому музыканту. Легкие переложения для фортепиано. Альбом 1,Юдовина-ГальперинаТ.,"Цель серии альбомов ""Большая музыка — маленькому музыканту"" — пробудить у детей желание играть и слушать хорошую музыку. Легкие переложения позволяют быстро прочитать нотный текст и получить удовольствие от исполнения прекрасной музыки. Именно с этой целью некоторые пьесы изложены в более легкой тональности, упрощена фактура, в ряде случаев приводятся только небольшие фрагменты произведений. Знакомство с творчеством каждого композитора дополняется его краткой биографией и каким-либо характерным историческим анекдотом, с ней связанным. Сборники можно использовать в классе специального фортепиано (в основном для самостоятельной работы, чтения с листа), общего фортепиано и для домашнего музицирования. Под ред. Ольги Геталовой",2 400 тг,0,Композитор СПБ,9790660007426,2 мм,Неизвестно,Неизвестно,Неизвестно,Неизвестно,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5132211_1464554.jpeg
Большая музыка-маленькому музыканту. Легкие переложения для фортепиано. Альбом 2,Юдовина-ГальперинаТ.,"Цель серии альбомов ""Большая музыка — маленькому музыканту"" — пробудить у детей желание играть и слушать хорошую музыку. Легкие переложения позволяют быстро прочитать нотный текст и получить удовольствие от исполнения прекрасной музыки. Именно с этой целью некоторые пьесы изложены в более легкой тональности, упрощена фактура, в ряде случаев приводятся только небольшие фрагменты произведений. Знакомство с творчеством каждого композитора дополняется его краткой биографией и каким-либо характерным историческим анекдотом, с ней связанным. Сборники можно использовать в классе специального фортепиано (в основном для самостоятельной работы, чтения с листа), общего фортепиано и для домашнего музицирования. Под ред. Ольги Геталовой",2 400 тг,0,Композитор СПБ,9790660007433,2 мм,Неизвестно,Неизвестно,Неизвестно,Неизвестно,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5132350_1464697.jpeg
Большая музыка-маленькому музыканту. Легкие переложения для фортепиано. Альбом 3,Юдовина-ГальперинаТ.,"Цель серии альбомов ""Большая музыка — маленькому музыканту"" — пробудить у детей желание играть и слушать хорошую музыку. Легкие переложения позволяют быстро прочитать нотный текст и получить удовольствие от исполнения прекрасной музыки. Именно с этой целью некоторые пьесы изложены в более легкой тональности, упрощена фактура, в ряде случаев приводятся только небольшие фрагменты произведений. Знакомство с творчеством каждого композитора дополняется его краткой биографией и каким-либо характерным историческим анекдотом, с ней связанным. Сборники можно использовать в классе специального фортепиано (в основном для самостоятельной работы, чтения с листа), общего фортепиано и для домашнего музицирования. Под ред. Ольги Геталовой",2 400 тг,0,Композитор СПБ,9790660040058,2 мм,Неизвестно,Неизвестно,Неизвестно,Неизвестно,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5132270_1464615.jpeg
Большая музыка-маленькому музыканту. Легкие переложения для фортепиано. Альбом 4,Юдовина-ГальперинаТ.,"Цель серии альбомов ""Большая музыка — маленькому музыканту"" — пробудить у детей желание играть и слушать хорошую музыку. Легкие переложения позволяют быстро прочитать нотный текст и получить удовольствие от исполнения прекрасной музыки. Именно с этой целью некоторые пьесы изложены в более легкой тональности, упрощена фактура, в ряде случаев приводятся только небольшие фрагменты произведений. Знакомство с творчеством каждого композитора дополняется его краткой биографией и каким-либо характерным историческим анекдотом, с ней связанным. Сборники можно использовать в классе специального фортепиано (в основном для самостоятельной работы, чтения с листа), общего фортепиано и для домашнего музицирования. Под ред. Ольги Геталовой",2 400 тг,0,Композитор СПБ,9790660041505,2 мм,Неизвестно,Неизвестно,Неизвестно,Неизвестно,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5132275_1464620.jpeg
Большая музыка-маленькому музыканту. Легкие переложения для фортепиано. Альбом 5,Юдовина-ГальперинаТ.,"Эта книга - первая универсальная работа на тему, информация по которой встречается лишь в отдельных публикациях. Это одновременно и солидный научный труд, и энциклопедия, и учебник по истории русского антиквариата. Автор-составитель книги, искусствовед Владислав Толмацкий, известен по многочисленным публикациям в журнале ""Антикварное обозрение"" и отдельным изданиям, посвященным истории антикварного рынка Петербурга. Валентин Скурлов - видный историк ювелирного искусства, эксперт Министерства культуры Российской Федерации, консультант Аукционного дома Christie's. Александр Иванов - эксперт Министерства культуры Российской Федерации, автор ряда крупных научных исследований по проблематике русского ювелирного дела.  В настоящем издании собрано в стройную, научно аргументированную систему множество сведений из разнообразных источников, имеющих какое-либо касательство к данной тематике. К таким источникам, наряду с исторической, мемуарной и эпистолярной литературой, необходимо в первую очередь отнести ценнейшие архивные материалы, ряд которых публикуется впервые. Особо следует отметить широко использованную авторами хроникальную информацию (что само по себе исключительно интересно и познавательно) - обзорные статьи, заметки, рекламные объявления, а также сюжетную и сатирическую графику из отечественных газет и журналов.  Одна из сильных сторон издания - богатейший иллюстративный материал: обилие старинных фотографий и архивных документов, репродукций картин и других произведений искусства, проходивших в разное время на антикварном рынке Санкт-Петербурга. Эта книга - не только убедительный и увлекательный рассказ об истории русского антикварного бизнеса: городских магазинах, галереях, аукционах, лотереях, и, соответственно, их владельцах и устроителях. Это также и повествование о судьбах произведений искусства, о судьбах коллекционеров, посвятивших свою жизнь собиранию художественных редкостей. Данное издание, безусловно, ценно еще и тем, что в нем приводятся детальные описания значительного числа высокохудожественных вещей с антикварных продаж разных лет, чье местонахождение в настоящее время неизвестно. Вероятно, это поможет многим музейным работникам в атрибуции и восстановлении бытования неизвестных произведений, каких немало в любом из наших музеев.  Основной блок издания состоит из двух частей с логически расположением глав по хронологическому порядку. Первая ее часть охватывает период до 1917 года, вторая часть - советские и постсоветские годы.",2 400 тг,0,Композитор СПБ,2008 г.,9790660042250,520,Твердый,2 мм,2395 г.,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5132271_1464616.jpeg
Большая музыка-маленькому музыканту. Легкие переложения для фортепиано. Альбом 6,Юдовина-ГальперинаТ.,"Идея серии «Большая музыка — маленькому музыканту» принадлежит Татьяне Борисовне Юдовиной-Гальпериной (1945-2003) — известному педагогу, автору статей по фортепианной педагогике, в частности по методике раннего обучения 2-3-летнего возраста. Цель серии — пробудить у детей желание играть и слушать хорошую музыку.
.Предлагаемые вашему вниманию переложения позволяют детям быстро прочитать нотный текст и получить удовольствие от исполнения прекрасной музыки. Именно с этой целью некоторые пьесы изложены в более легкой тональности, упрощена фактура, в ряде случаев приводятся только небольшие фрагменты произведений. Есть и произведения, представленные в серии не один раз: в одном альбоме в более легком переложении, а в другом — в более сложном.
.Материал, вошедший в сборники из данной серии, можно рекомендовать для работы в классе общего фортепиано в детских музыкальных школах и школах искусств, в качестве пьес для самостоятельного разучивания, для домашнего музицирования. Знание этих мелодий поможет и на уроках по музыкальной литературе.",2 400 тг,0,Композитор СПБ,9790352206939,2 мм,Неизвестно,Неизвестно,Неизвестно,Неизвестно,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5132212_1464555.jpeg
Большая музыка-маленькому музыканту. Легкие переложения для фортепиано. Альбом 7,Юдовина-ГальперинаТ.,"Идея серии «Большая музыка — маленькому музыканту» принадлежит Татьяне Борисовне Юдовиной-Гальпериной (1945-2003) — известному педагогу, автору статей по фортепианной педагогике, в частности по методике раннего обучения 2-3-летнего возраста. Цель серии — пробудить у детей желание играть и слушать хорошую музыку.
.Предлагаемые вашему вниманию переложения позволяют детям быстро прочитать нотный текст и получить удовольствие от исполнения прекрасной музыки. Именно с этой целью некоторые пьесы изложены в более легкой тональности, упрощена фактура, в ряде случаев приводятся только небольшие фрагменты произведений. Есть и произведения, представленные в серии не один раз: в одном альбоме в более легком переложении, а в другом — в более сложном.
.Материал, вошедший в сборники из данной серии, можно рекомендовать для работы в классе общего фортепиано в детских музыкальных школах и школах искусств, в качестве пьес для самостоятельного разучивания, для домашнего музицирования. Знание этих мелодий поможет и на уроках по музыкальной литературе.",2 400 тг,0,Композитор СПБ,9790352210431,2 мм,Неизвестно,Неизвестно,Неизвестно,Неизвестно,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5132276_1464621.jpeg
Буратино за синтезатором. Детские зарубежные песни в легком переложении,Неизвестно,"Эти ноты доступны каждому, кто хоть немного знаком с нотной грамотой и умеет играть на синтезаторе,— и ребенку, и взрослому. Мы специально позаботились о том, чтобы вам было легко и приятно петь под собственный аккомпанемент с вашими друзьями, с вашими детьми любимые мелодии. Все номера сборника рассчитаны даже на четырехоктавный инструмент.",1 200 тг,0,Композитор СПБ,9790660004524,2 мм,Неизвестно,Неизвестно,Неизвестно,Неизвестно,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5132330_1464677.jpeg
