100 великих улиц и площадей,Аннина С.А.,"Книга приглашает читателя посетить самые прекрасные и неповторимые площади и улицы мира. Вы узнаете о том, какая улица самая длинная в мире, или самая зеленая, узкая или самая широкая. Вы познакомитесь с историческими событиями и архитектурными достопримечательностями, сформировавшими нынешний облик величайших площадей России, стран Европы, Азии. Ближнего Востока, Африки, Америки.",2 000 тг,0,Вече,2015 г.,9785444419731,416,Твердый,215 мм x 145 мм,33 мм,385 г.,http://www.bookcity.kz/content/images/thumbs/5068282_1407985.jpeg
Tatlin Mono 1/6/44-2007 Алексей Козырь. Журнал,Неизвестно,Неизвестно,930 тг,5,Татлин,460716180001000044,12 мм,Неизвестно,Неизвестно,Неизвестно,Неизвестно,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5039127_1361019.jpeg
Tatlin Mono 3/16-2009 Борис Левянт. Журнал,Неизвестно,Неизвестно,1 080 тг,0,Татлин,2009 г.,460716180001000076,Мягкий,14 мм,Неизвестно,Неизвестно,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5003758_1324960.jpeg
Tatlin Mono 4/17-2009 Николай Лызлов. Журнал,Неизвестно,Неизвестно,1 080 тг,1,Татлин,2009 г.,460716180001000078,Мягкий,11 мм,Неизвестно,Неизвестно,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5003603_1325447.jpeg
Tatlin Mono 4/9/53-2007 Евгений Пестов. Журнал,Неизвестно,Неизвестно,930 тг,1,Татлин,2008 г.,460716180001000053,Мягкий,12 мм,Неизвестно,Неизвестно,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5040493_1361230.jpeg
Tatlin Mono 5/18/80-2009 Молодые архитекторы России. Журнал,Неизвестно,Неизвестно,1 080 тг,0,Татлин,2009 г.,460716180001000080,Мягкий,10 мм,Неизвестно,Неизвестно,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5003534_1325378.jpeg
Tatlin News 3/57/85-2010. Журнал,Неизвестно,Неизвестно,510 тг,1,Татлин,2010 г.,460716180001000085,8 мм,Неизвестно,Неизвестно,Неизвестно,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5003605_1325087.jpeg
Tatlin News 5/59/88-2010. Журнал,Неизвестно,Неизвестно,540 тг,0,Татлин,460716180001000088,10 мм,Неизвестно,Неизвестно,Неизвестно,Неизвестно,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5038629_1361256.jpeg
Terraces & Balconies,Florian Seidel,"Terraces and balconies have always been essential architectural features - they are effectively the continuation of a dwelling outdoors. Terraces are mostly related directly to the landscape surrounding a building. They can frame a view - for instance, through canopies or side walls - they can imitate particular landscape elements on their own more human scale, or they can enable the landscape to be perceived and experienced in a different way.",13 000 тг,0,"Evergreen, Taschen",2008 г.,9783836503952,192,Мягкий,15 мм,Неизвестно,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5096362_1434364.jpeg
The Art of Tiffany,Couldrey V.,"Louis Comfort Tiffany was the famous son of a famous father. The father founded Tiffany & Co, the eminent New York jewellery and silver store the son became the foremost American exponent of Art Nouveau. Interior decorator and architect, painter in oil and watercolour, designer, jeweller and, above all, creator of the richly glowing, iridescent glass which is indelibly associated with his name, Tiffany was the leader of American taste in art and decoration for 40 years.",3 500 тг,0,Quantum Books,2005 г.,9781845730925,192,Твердый,18 мм,Неизвестно,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5032623_1355055.jpeg
The Experience of Architecture,Plummer Henry,Неизвестно,27 500 тг,0,Thames & Hudson,2016 г.,9780500343210,32 мм,Неизвестно,Неизвестно,Неизвестно,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5095046_1433056.jpeg
